Time,Image,Option1,Audio1,Correct1,Option2,Audio2,Correct2,Option3,Audio3,Correct3,Option4,Audio4,Correct4,Option5,Audio5,Correct5,Option6,Audio6,Correct6,Option7,Audio7,Correct7,Option8,Audio8,Correct8,Option9,Audio9,Correct9,Option10,Audio10,Correct10
0:03,0.03.jpg,három perccel múlt éjfél,00_03-1.ogg,1,éjfél után három perccel,00_03-2.ogg,1,nulla óra három perc,00_03-3.ogg,1,körülbelül éjfél,00_03-4.ogg,1,tizenkettő óra három perc,,0,negyed egy,,0,fél egy,,0,tizenkettő óra ötvenhét,,0,három perccel éjfél után,,0,tizenkettő óra öt perc,,0
0:05,0.05.jpg,nulla óra öt perc,00_05-1.ogg,1,öt perccel múlt éjfél,00_05-2.ogg,1,éjfél után öt perccel,00_05-3.ogg,1,öt perc múlva egy lesz,,0,háromnegyed egy,,0,fél egy,,0,tizenkettő óra ötvenöt,,0,majdnem fél egy,,0,tíz perc múlva egy,,0,du. tizenkettő óra öt perc,,0
0:10,0.10.jpg,éjfél után tíz perc,00_10-1.ogg,1,nulla óra tíz perc,00_10-2.ogg,1,pontosan éjfél után tíz perccel,00_10-3.ogg,1,nulla óra húsz perc,,0,délután egy óra tíz,,0,éjfél,,0,tíz perc múlva egy,,0,éjfél után öt perc,,0,éjfél után tizenöt perc,,0,fél egy,,0
0:20,0.20.jpg,éjfél után húsz perc,00_20-1.ogg,1,nulla óra húsz perc,00_20-2.ogg,1,pontosan éjfél után húsz perccel,00_20-3.ogg,1,tizenkettő óra húsz perc,,0,délután egy óra húsz,,0,éjfél,,0,húsz perc múlva egy,,0,éjfél után tíz perc,,0,éjfél után húszonöt perc,,0,fél egy,,0
0:35,0.35.jpg,nulla óra harmincöt perc,00_35-1.ogg,1,huszonöt perc múlva egy,00_35-2.ogg,1,éjfél után harmincöt perccel,00_35-3.ogg,1,öt perccel múlt fél egy,00_35-4.ogg,1,harmincöt perccel múlt éjfél,00_35-5.ogg,1,fél egy,,0,háromnegyed egy,,0,negyed egy,,0,épp túl egy,,0,tizenkettő óra öt perc,,0
0:50,0.50.jpg,tizenkettő óra ötven perc,00_50-1.ogg,1,tíz perc múlva egy,00_50-2.ogg,1,éjfél után ötven perccel,00_50-3.ogg,1,nulla óra ötven,00_50-4.ogg,1,tíz perccel múlt egy,,0,öt perccel múlt éjfél,,0,fél egy,,0,háromnegyed egy,,0,majdnem dél,,0,tizenkettő óra öt perc,,0
1:00,1.00.jpg,egy óra,01_00-1.ogg,1,hajnali egy,01_00-2.ogg,1,egy óra nulla perc,01_00-3.ogg,1,huszon perc múlva kettő,,0,délután egy óra,,0,tizenkettő óra,,0,egy perccel éjfél után,,0,tizenkettő óra ötvenkilenc perc,,0,majdnem kettő,,0,háromnegyed egy,,0
1:08,1.08.jpg,egy óra nyolc perc,01_08-1.ogg,1,nyolc perccel múlt egy,01_08-2.ogg,1,hajnali egy óra nyolc,01_08-3.ogg,1,egy óra nyolc,01_08-4.ogg,1,negyed kettő,,0,fél kettő,,0,tizenkettő óra ötvenkettő,,0,nyolc perccel éjfél után,,0,majdnem fél kettő,,0,egy óra két perc,,0
1:10,1.10.jpg,egy óra tíz perc,01_10-1.ogg,1,tíz perccel múlt egy,01_10-2.ogg,1,hajnali egy óra tíz,01_10-3.ogg,1,egy óra tíz,01_10-4.ogg,1,negyed kettő,,0,fél kettő,,0,egy óra ötven,,0,tíz perccel éjfél után,,0,majdnem fél kettő,,0,öt perc múlva egy,,0
1:12,1.12.jpg,egy óra tizenkét perc,01_12-1.ogg,1,tizenkét perccel múlt egy,01_12-2.ogg,1,hajnali egy óra tizenkettő,01_12-3.ogg,1,egy óra tizennégy perc,,0,negyed kettő,,0,fél kettő,,0,egy óra negyvennyolc,,0,tizenkét perccel éjfél után,,0,majdnem fél kettő,,0,tizennyolc perc múlva egy óra,,0
1:15,1.15.jpg,egy óra tizenöt perc,01_15-1.ogg,1,egy óra tizenöt,01_15-2.ogg,1,pontosan egy óra tizenöt perc,01_15-3.ogg,1,negyed kettő,01_15-4.ogg,1,negyed egy,,0,negyed egy,,0,tizenöt perc múlva kettő,,0,egy óra tíz perc,,0,fél kettő,,0,kettő óra tizenöt perc,,0
1:25,1.25.jpg,egy óra huszonöt perc,01_25-1.ogg,1,egy óra huszonöt,01_25-2.ogg,1,pontosan egy óra huszonöt perc,01_25-3.ogg,1,egy óra huszonöt,01_25-4.ogg,1,egy óra harmincöt perc,,0,huszon perc múlva kettő,,0,egy óra húsz perc,,0,fél kettő,,0,kettő óra huszonöt perc,,0,egy óra huszonötegy perc,,0
1:40,1.40.jpg,egy óra negyven perc,01_40-1.ogg,1,húsz perc múlva kettő,01_40-2.ogg,1,hajnali egy negyven,01_40-3.ogg,1,tíz perccel múlt fél kettő,01_40-4.ogg,1,fél kettő,,0,háromnegyed kettő,,0,negyed kettő,,0,negyven perc múlva egy,,0,majdnem kettő,,0,egy óra öt perc,,0
